goal,success,elapsed_s,mode,model,outline_chars,fills,failed_holes,had_sorry,verified_ok
(∀x. P x ⟶ Q x) ∧ (∃x. P x) ⟶ (∃x. Q x),False,47.4176,auto,ollama:qwen2.5-coder:7b,243,0,1,False,False
(∀x. P x ⟷ Q x) ⟶ ((∀x. R x ⟶ P x) ⟷ (∀x. R x ⟶ Q x)),False,202.7936,auto,ollama:qwen2.5-coder:7b,259,0,0,True,True
(∀x. P x) ⟶ ((∀x. Q x ⟶ R x) ⟶ (∀x. P x ∧ Q x ⟶ R x)),False,203.1693,auto,ollama:qwen2.5-coder:7b,458,0,0,True,True
(∃x. P x ∧ (Q x ⟶ R x)) ⟶ ((∃x. P x ∧ Q x) ⟶ (∃x. R x)),False,205.8517,auto,ollama:qwen2.5-coder:7b,177,0,0,True,True
(if A then f x else f y) = f (if A then x else y),False,204.7901,auto,ollama:qwen2.5-coder:7b,275,1,0,True,True
(if A then (B ⟶ C) else True) ⟷ (¬ A ∨ (B ⟶ C)),False,109.8304,auto,ollama:qwen2.5-coder:7b,187,0,1,False,False
(∀x. f x = g x) ⟶ (∃!x. f x = a) ⟶ (∃!x. g x = a),False,206.6270,auto,ollama:qwen2.5-coder:7b,222,0,0,True,True
(∃!x. P x) ⟶ (∀x y. P x ∧ P y ⟶ x = y),False,220.9181,auto,ollama:qwen2.5-coder:7b,161,0,0,True,True
finite A ⟹ card (A ∪ B) = card A + card (B - A),False,210.0319,auto,ollama:qwen2.5-coder:7b,616,0,0,True,True
finite A ⟹ card (A ∩ B) + card (A - B) = card A - card (A ∩ (B - A)),False,202.9932,auto,ollama:qwen2.5-coder:7b,261,0,0,True,True
finite A ⟹ finite B ⟹ A ∩ B = {} ⟹ card (A ∪ B) = card A + card B,False,203.7423,auto,ollama:qwen2.5-coder:7b,249,0,0,True,True
finite A ⟹ card {x∈A. P x ∧ Q x} + card {x∈A. P x ∧ ¬ Q x} = card {x∈A. P x},False,207.3464,auto,ollama:qwen2.5-coder:7b,349,0,0,True,True
finite A ⟹ card {x∈A. P x} + card {x∈A. ¬ P x} = card A,False,203.7963,auto,ollama:qwen2.5-coder:7b,402,0,0,True,True
finite A ⟹ inj_on f A ⟹ card (f ` A) = card A,False,127.0479,auto,ollama:qwen2.5-coder:7b,465,0,1,False,False
finite A ⟹ card ((A × B) ∩ (C × D)) = card (A ∩ C) * card (B ∩ D),False,217.3471,auto,ollama:qwen2.5-coder:7b,530,0,0,True,True
finite A ⟹ finite B ⟹ card (A × B - C) = card (A × B) - card (C ∩ (A × B)),False,204.3877,auto,ollama:qwen2.5-coder:7b,327,0,0,True,True
finite A ⟹ sum (λx. (if x∈B then (1::nat) else 0)) A = card (A ∩ B),False,204.5650,auto,ollama:qwen2.5-coder:7b,315,0,0,True,True
finite A ⟹ sum (λx. (if P x then (1::nat) else 0)) A = card {x∈A. P x},False,213.0255,auto,ollama:qwen2.5-coder:7b,329,0,0,True,True
finite A ⟹ sum (λx. (if x∈A then (0::int) else 0)) A = 0,False,218.1166,auto,ollama:qwen2.5-coder:7b,346,0,0,True,True
finite A ⟹ sum (λx. c::int) A = c * int (card A),False,204.2930,auto,ollama:qwen2.5-coder:7b,162,0,0,True,True
finite A ⟹ sum (λx. f x + g x::int) A = sum f A + sum g A,False,205.2618,auto,ollama:qwen2.5-coder:7b,204,0,0,True,True
finite A ⟹ (∀x∈A. f x = g x) ⟶ sum f A = (sum g A::int),False,211.1174,auto,ollama:qwen2.5-coder:7b,255,1,0,True,True
finite A ⟹ card (A - {x}) = (if x∈A then card A - 1 else card A),False,80.7809,auto,ollama:qwen2.5-coder:7b,465,1,0,False,False
finite A ⟹ card (insert x A) = (if x∈A then card A else Suc (card A)),False,131.9678,auto,ollama:qwen2.5-coder:7b,322,0,1,False,False
"finite A ⟹ finite B ⟹ card { (x,y)∈A×B. P x ∧ Q y } ≤ card A * card B",False,203.0893,auto,ollama:qwen2.5-coder:7b,524,0,0,True,True
