goal,success,depth,elapsed_s,model,timeout,use_calls,steps_len
(A \<inter> B) \<times> C = A \<times> C \<inter> B \<times> C,True,1,10.834798812866211,ollama:qwen2.5-coder:7b,False,4,2
(LIM x F. f x :> at_top) \<longleftrightarrow> (\<forall>Z. eventually (\<lambda>x. Z < f x) F),False,1,120.18449831008911,ollama:qwen2.5-coder:7b,True,18,2
(\<And>P. eventually P F' \<Longrightarrow> eventually P F) \<Longrightarrow> F \<le> F',True,1,32.94181561470032,ollama:qwen2.5-coder:7b,False,30,2
"(\<And>a. a \<in> A \<Longrightarrow> (a, a) \<notin> r) \<Longrightarrow> irrefl_on A r",True,1,33.60923671722412,ollama:qwen2.5-coder:7b,False,42,2
(\<And>n. f n = g n) \<Longrightarrow> f sums c \<longleftrightarrow> g sums c,True,1,10.089503526687622,ollama:qwen2.5-coder:7b,False,45,2
(\<And>x y. R x y \<Longrightarrow> f x < f y) \<Longrightarrow> wfp R,False,1,40.514376401901245,ollama:qwen2.5-coder:7b,False,60,1
(\<And>x. P (f x) = Q x) \<Longrightarrow> f -` (Collect P) = Collect Q,True,1,14.54428505897522,ollama:qwen2.5-coder:7b,False,63,2
(\<Sum>k\<le>m. (2 * m + 1 choose k)) = 2 ^ (2 * m),True,1,27.498297214508057,ollama:qwen2.5-coder:7b,False,74,2
(\<lambda>n. if n \<in> A then f n else g n) sums S',False,2,120.89937615394592,ollama:qwen2.5-coder:7b,False,108,2
"(\<lambda>x y. (x, y) \<in> R) \<le> (\<lambda>x y. (x, y) \<in> S) \<longleftrightarrow> R \<subseteq> S",True,1,15.998711109161377,ollama:qwen2.5-coder:7b,False,112,2
(a::'a::cancel_comm_monoid_add) + b = a \<longleftrightarrow> b = 0,True,1,10.913520336151123,ollama:qwen2.5-coder:7b,False,115,2
(a::'a::group_add) + b = 0 \<Longrightarrow> - a = b,True,1,30.08774209022522,ollama:qwen2.5-coder:7b,False,126,2
(a::'a::normalization_semidom) div unit_factor a = normalize a,True,1,12.550002813339233,ollama:qwen2.5-coder:7b,False,129,2
(a::'a::ordered_ab_group_add) < - b \<longleftrightarrow> b < - a,True,1,31.689926862716675,ollama:qwen2.5-coder:7b,False,142,2
(a::'a::semiring_gcd) dvd gcd b c \<Longrightarrow> a dvd c,True,1,10.745180606842041,ollama:qwen2.5-coder:7b,False,145,2
(a::'a::semiring_modulo) - a mod b = b * (a div b),False,1,39.90773558616638,ollama:qwen2.5-coder:7b,False,159,1
(a::'a::semiring_no_zero_divisors) * b = 0 \<longleftrightarrow> a = 0 \<or> b = 0,True,1,14.007206201553345,ollama:qwen2.5-coder:7b,False,162,2
(f :: 'a \<Rightarrow> 'b) = g \<Longrightarrow> f x = g x,True,1,9.464234352111816,ollama:qwen2.5-coder:7b,False,165,2
(filter P xs = []) = (\<forall>x\<in>set xs. \<not> P x),True,1,31.107844352722168,ollama:qwen2.5-coder:7b,False,176,2
(i::'a::linordered_semidom) + k \<le> n \<Longrightarrow> n \<le> j + k \<Longrightarrow> n - k \<le> j,False,1,35.81229591369629,ollama:qwen2.5-coder:7b,False,188,1
(if P then if Q then x else y else y) = (if P \<and> Q then x else y),True,1,9.628546953201294,ollama:qwen2.5-coder:7b,False,191,2
(inf r (\<noteq>))\<^sup>*\<^sup>* = r\<^sup>*\<^sup>*,True,1,50.01617479324341,ollama:qwen2.5-coder:7b,False,202,2
(k::'a::semiring_gcd_mult_normalize) * lcm a b = lcm (k * a) (k * b) * unit_factor k,False,2,84.14640045166016,ollama:qwen2.5-coder:7b,False,233,2
"(x, y) \<in> f <*mlex*> R \<longleftrightarrow> f x < f y \<or> f x = f y \<and> (x, y) \<in> R",True,2,60.205815076828,ollama:qwen2.5-coder:7b,False,258,3
"(x, y) \<in> inv_image r f \<longleftrightarrow> (f x, f y) \<in> r",True,1,16.07716965675354,ollama:qwen2.5-coder:7b,False,261,2
(x::'a::preorder) < y \<Longrightarrow> (\<not> y < x) \<longleftrightarrow> True,True,1,32.10411810874939,ollama:qwen2.5-coder:7b,False,272,2
(y::'a::semilattice_inf) \<le> x \<Longrightarrow> x \<sqinter> y = y,False,1,17.029916524887085,ollama:qwen2.5-coder:7b,False,279,1
0 < (a::'a::ordered_cancel_comm_monoid_add) \<Longrightarrow> b \<le> c \<Longrightarrow> b < a + c,True,1,27.999648094177246,ollama:qwen2.5-coder:7b,False,290,2
A = B \<longleftrightarrow> A \<subseteq> B \<and> B \<subseteq> A,True,1,13.424644470214844,ollama:qwen2.5-coder:7b,False,294,2
A \<subseteq> B \<Longrightarrow> x \<in> A \<longrightarrow> x \<in> B,True,1,13.469220876693726,ollama:qwen2.5-coder:7b,False,298,2
"A \<times> insert y B = (\<lambda>x. (x, y)) ` A \<union> A \<times> B",True,1,15.550909757614136,ollama:qwen2.5-coder:7b,False,302,2
Collect P = {} \<longleftrightarrow> (\<forall>x. \<not> P x),True,1,11.340755939483643,ollama:qwen2.5-coder:7b,False,305,2
Domain (A \<inter> B) \<subseteq> Domain A \<inter> Domain B,True,1,13.448232650756836,ollama:qwen2.5-coder:7b,False,309,2
