goal,success,elapsed_s,mode,model,outline_chars,fills,failed_holes,had_sorry,verified_ok
((P \<longleftrightarrow> Q) \<longleftrightarrow> R) \<longleftrightarrow> (P \<longleftrightarrow> (Q \<longleftrightarrow> R)),True,5.9878,auto,ollama:qwen2.5-coder:7b,148,1,0,False,True
((\<lambda>x. if x \<in> B then c else d) -` A) = (if c \<in> A then (if d \<in> A then UNIV else B) else if d \<in> A then - B else {}),True,9.2385,auto,ollama:qwen2.5-coder:7b,154,1,0,False,True
"(A, B) \<in> max_ext R \<Longrightarrow> (C, D) \<in> max_ext R \<Longrightarrow> (A \<union> C, B \<union> D) \<in> max_ext R",True,38.9313,auto,ollama:qwen2.5-coder:7b,168,1,0,False,True
(LIM x F1. f x :> F2) \<longleftrightarrow> (\<forall>P. eventually P F2 \<longrightarrow> eventually (\<lambda>x. P (f x)) F1),False,113.6788,auto,ollama:qwen2.5-coder:7b,393,0,1,True,True
(\<And>a b. x a b \<longrightarrow> y a b) \<Longrightarrow> x\<^sup>*\<^sup>* a b \<longrightarrow> y\<^sup>*\<^sup>* a b,True,38.4129,auto,ollama:qwen2.5-coder:7b,157,1,0,False,True
(\<And>fa y. fa \<in> range f \<Longrightarrow> y \<in> range fa \<Longrightarrow> P y) \<equiv> (\<And>x xa. P (f x xa)),False,109.6707,auto,ollama:qwen2.5-coder:7b,321,0,1,True,True
"(\<And>x y. (x, y) \<in> r \<Longrightarrow> (\<And>z. (x, z) \<in> r \<Longrightarrow> y = z)) \<Longrightarrow> single_valued r",True,37.3565,auto,ollama:qwen2.5-coder:7b,168,1,0,False,True
(\<And>x y. Grp P id x y \<Longrightarrow> Grp Q id (f x) (f y)) \<equiv> (\<And>x. x \<in> P \<Longrightarrow> f x \<in> Q),False,104.8385,auto,ollama:qwen2.5-coder:7b,358,0,1,True,True
(\<And>x y. x \<in> A \<Longrightarrow> y \<in> A \<Longrightarrow> R x y \<Longrightarrow> \<not> R y x) \<Longrightarrow> asymp_on A R,True,7.1729,auto,ollama:qwen2.5-coder:7b,155,1,0,False,True
(\<And>x y. x \<in> set xs \<Longrightarrow> y \<in> set xs \<Longrightarrow> f y \<circ> f x = f x \<circ> f y) \<Longrightarrow> foldr f xs = fold f xs,True,40.8541,auto,ollama:qwen2.5-coder:7b,189,1,0,False,True
