goal,success,elapsed_s,mode,model,outline_chars,fills,failed_holes,had_sorry,verified_ok
!!k:: 'a::linorder. -lessThan k = atLeast k,True,7.9353,auto,ollama:qwen2.5-coder:7b,61,1,0,False,True
(1 - x) * (\<Sum>i=m..n. x^i) = x^m - x^Suc n,False,132.1073,auto,ollama:qwen2.5-coder:7b,253,0,0,True,True
(A \<union> B) - C = (A - C) \<union> (B - C),True,7.3108,auto,ollama:qwen2.5-coder:7b,64,1,0,False,True
(\<And>x::unit. PROP P x) \<equiv> PROP P (),True,9.1195,auto,ollama:qwen2.5-coder:7b,62,1,0,False,True
(\<exists>x y. P x y) = (\<exists>y x. P x y),True,7.2470,auto,ollama:qwen2.5-coder:7b,64,1,0,False,True
(\<lambda>h::'a::mult_zero. 0) = (*) 0,True,9.1879,auto,ollama:qwen2.5-coder:7b,56,1,0,False,True
(a::'a::group_add) - (b + c) = a - c - b,True,38.1644,auto,ollama:qwen2.5-coder:7b,92,1,0,False,True
(a::'a::idom_divide) div - b = - (a div b),False,124.9621,auto,ollama:qwen2.5-coder:7b,147,0,0,True,True
(equivclp r)\<^sup>*\<^sup>* = equivclp r,True,13.2776,auto,ollama:qwen2.5-coder:7b,59,1,0,False,True
(if True then x else y) = x,True,9.2894,auto,ollama:qwen2.5-coder:7b,45,1,0,False,True
(if x = y then y else x) = x,True,9.2381,auto,ollama:qwen2.5-coder:7b,46,1,0,False,True
(map_option f opt = None) = (opt = None),True,7.1362,auto,ollama:qwen2.5-coder:7b,59,1,0,False,True
(n + m) - n = m,False,125.0367,auto,ollama:qwen2.5-coder:7b,105,0,1,False,False
(take n xs = []) = (n = 0 \<or> xs = []),True,9.2292,auto,ollama:qwen2.5-coder:7b,58,1,0,False,True
"(x, x) \<in> R ^^ 0",True,9.3150,auto,ollama:qwen2.5-coder:7b,37,1,0,False,True
(xs @ ys = []) = (xs = [] \<and> ys = []),True,7.1577,auto,ollama:qwen2.5-coder:7b,60,1,0,False,True
(xs @ ys = xs @ zs) = (ys = zs),True,7.1932,auto,ollama:qwen2.5-coder:7b,50,1,0,False,True
0 - (a::'a::group_add) = - a,True,9.2983,auto,ollama:qwen2.5-coder:7b,46,1,0,False,True
0 \<notin> Suc ` A,True,7.3775,auto,ollama:qwen2.5-coder:7b,37,1,0,False,True
0 gchoose (Suc k) = 0,True,9.3732,auto,ollama:qwen2.5-coder:7b,39,1,0,False,True
1 + a + a \<noteq> 0,True,26.0790,auto,ollama:qwen2.5-coder:7b,45,1,0,False,True
A = B \<Longrightarrow> A \<subseteq> B,True,7.2985,auto,ollama:qwen2.5-coder:7b,58,1,0,False,True
A \<union> B = fold insert B A,False,97.8934,auto,ollama:qwen2.5-coder:7b,686,0,1,True,True
Ball (f ` A) g = Ball A (g \<circ> f),True,9.2518,auto,ollama:qwen2.5-coder:7b,55,1,0,False,True
Ball A P = (A \<subseteq> (Collect P)),True,7.2658,auto,ollama:qwen2.5-coder:7b,57,1,0,False,True
Ball UNIV P \<longleftrightarrow> All P,True,7.3156,auto,ollama:qwen2.5-coder:7b,58,1,0,False,True
CARD('a bit1) = Suc (2 * CARD('a::finite)),False,107.2260,auto,ollama:qwen2.5-coder:7b,320,0,1,True,True
HOL.equal k k \<longleftrightarrow> True,False,127.2768,auto,ollama:qwen2.5-coder:7b,120,0,1,False,False
Neg m + Neg n = Neg (m + n),False,101.7027,auto,ollama:qwen2.5-coder:7b,244,0,1,True,True
Range (r\<inverse>) = Domain r,True,7.2372,auto,ollama:qwen2.5-coder:7b,49,1,0,False,True
UNIV = List.coset [],True,9.2955,auto,ollama:qwen2.5-coder:7b,38,1,0,False,True
UNIV \<inter> B = B,True,7.3158,auto,ollama:qwen2.5-coder:7b,38,1,0,False,True
"X = Y \<longleftrightarrow> (x, y) \<in> r",False,96.6840,auto,ollama:qwen2.5-coder:7b,235,0,1,True,True
\<Sum> {0..<card S} \<le> \<Sum> S,False,130.6147,auto,ollama:qwen2.5-coder:7b,288,0,0,True,True
\<exists>!x. t = x,True,7.3303,auto,ollama:qwen2.5-coder:7b,37,1,0,False,True
\<exists>a. b = f a,False,125.0577,auto,ollama:qwen2.5-coder:7b,95,0,0,True,True
\<exists>n. k = int n,False,124.6077,auto,ollama:qwen2.5-coder:7b,170,0,0,True,True
"\<exists>x y. p = (x, y)",True,9.2380,auto,ollama:qwen2.5-coder:7b,42,1,0,False,True
\<forall>X \<in> A//r. univ f X \<in> B,False,107.0065,auto,ollama:qwen2.5-coder:7b,539,0,1,True,True
