set,goal,success,mode,elapsed_s,had_sorry,verified_ok,cut_off
hol_main_easy,!!k:: 'a::linorder. -lessThan k = atLeast k,True,success,7.94,False,True,False
hol_main_easy,(1 - x) * (\<Sum>i=m..n. x^i) = x^m - x^Suc n,False,deadline_overrun,132.11,True,True,False
hol_main_easy,(A \<union> B) - C = (A - C) \<union> (B - C),True,success,7.31,False,True,False
hol_main_easy,(\<And>x::unit. PROP P x) \<equiv> PROP P (),True,success,9.12,False,True,False
hol_main_easy,(\<exists>x y. P x y) = (\<exists>y x. P x y),True,success,7.25,False,True,False
hol_main_easy,(\<lambda>h::'a::mult_zero. 0) = (*) 0,True,success,9.19,False,True,False
hol_main_easy,(a::'a::group_add) - (b + c) = a - c - b,True,success,38.16,False,True,False
hol_main_easy,(a::'a::idom_divide) div - b = - (a div b),False,deadline_overrun,124.96,True,True,False
hol_main_easy,(equivclp r)\<^sup>*\<^sup>* = equivclp r,True,success,13.28,False,True,False
hol_main_easy,(if True then x else y) = x,True,success,9.29,False,True,False
hol_main_easy,(if x = y then y else x) = x,True,success,9.24,False,True,False
hol_main_easy,(map_option f opt = None) = (opt = None),True,success,7.14,False,True,False
hol_main_easy,(n + m) - n = m,False,deadline_overrun,125.04,False,False,False
hol_main_easy,(take n xs = []) = (n = 0 \<or> xs = []),True,success,9.23,False,True,False
hol_main_easy,"(x, x) \<in> R ^^ 0",True,success,9.31,False,True,False
hol_main_easy,(xs @ ys = []) = (xs = [] \<and> ys = []),True,success,7.16,False,True,False
hol_main_easy,(xs @ ys = xs @ zs) = (ys = zs),True,success,7.19,False,True,False
hol_main_easy,0 - (a::'a::group_add) = - a,True,success,9.30,False,True,False
hol_main_easy,0 \<notin> Suc ` A,True,success,7.38,False,True,False
hol_main_easy,0 gchoose (Suc k) = 0,True,success,9.37,False,True,False
hol_main_easy,1 + a + a \<noteq> 0,True,success,26.08,False,True,False
hol_main_easy,A = B \<Longrightarrow> A \<subseteq> B,True,success,7.30,False,True,False
hol_main_easy,A \<union> B = fold insert B A,False,sorry_leak,97.89,True,True,False
hol_main_easy,Ball (f ` A) g = Ball A (g \<circ> f),True,success,9.25,False,True,False
hol_main_easy,Ball A P = (A \<subseteq> (Collect P)),True,success,7.27,False,True,False
hol_main_easy,Ball UNIV P \<longleftrightarrow> All P,True,success,7.32,False,True,False
hol_main_easy,CARD('a bit1) = Suc (2 * CARD('a::finite)),False,sorry_leak,107.23,True,True,False
hol_main_easy,HOL.equal k k \<longleftrightarrow> True,False,deadline_overrun,127.28,False,False,False
hol_main_easy,Neg m + Neg n = Neg (m + n),False,sorry_leak,101.70,True,True,False
hol_main_easy,Range (r\<inverse>) = Domain r,True,success,7.24,False,True,False
hol_main_easy,UNIV = List.coset [],True,success,9.30,False,True,False
hol_main_easy,UNIV \<inter> B = B,True,success,7.32,False,True,False
hol_main_easy,"X = Y \<longleftrightarrow> (x, y) \<in> r",False,sorry_leak,96.68,True,True,False
hol_main_easy,\<Sum> {0..<card S} \<le> \<Sum> S,False,deadline_overrun,130.61,True,True,False
hol_main_easy,\<exists>!x. t = x,True,success,7.33,False,True,False
hol_main_easy,\<exists>a. b = f a,False,deadline_overrun,125.06,True,True,False
hol_main_easy,\<exists>n. k = int n,False,deadline_overrun,124.61,True,True,False
hol_main_easy,"\<exists>x y. p = (x, y)",True,success,9.24,False,True,False
hol_main_easy,\<forall>X \<in> A//r. univ f X \<in> B,False,sorry_leak,107.01,True,True,False
hol_main_easy,\<forall>x y. P x y \<Longrightarrow> P x y,True,success,7.30,False,True,False
hol_main_easy,\<lambda>x. x \<in> A,False,deadline_overrun,127.04,True,True,False
hol_main_easy,\<nexists>f. f ` A = Pow A,True,success,50.16,False,True,False
hol_main_easy,\<not> [] \<parallel> x,False,deadline_overrun,125.65,True,True,False
hol_main_easy,\<not> finite (UNIV :: num0 set),False,deadline_overrun,132.97,True,True,False
hol_main_easy,\<top> = (\<lambda>x. x \<in> UNIV),False,deadline_overrun,126.04,False,False,False
hol_main_easy,a \<ge> 0 \<Longrightarrow> mono ((*) a),False,deadline_overrun,123.77,True,True,False
hol_main_easy,a \<in> {} \<Longrightarrow> P,True,success,7.10,False,True,False
hol_main_easy,apfst f (apfst g x) = apfst (f \<circ> g) x,True,success,38.23,False,True,False
hol_main_easy,"apsnd f (apfst g x) = (g (fst x), f (snd x))",True,success,9.22,False,True,False
hol_main_easy,asymp_on A r \<Longrightarrow> irreflp_on A r,True,success,9.24,False,True,False
hol_main_easy,butlast (rev xs) = rev (tl xs),True,success,9.18,False,True,False
hol_main_easy,card (A <+> B) = card A + card B,False,deadline_overrun,138.20,True,True,False
hol_main_easy,card {l<..<u} = u - Suc l,True,success,7.19,False,True,False
hol_main_easy,dom (m ++ n) = dom n \<union> dom m,True,success,9.28,False,True,False
hol_main_easy,drop n (map f xs) = map f (drop n xs),True,success,30.60,False,True,False
hol_main_easy,equivclp (conversep r) = equivclp r,True,success,13.06,False,True,False
hol_main_easy,equivp R \<Longrightarrow> R x x,True,success,41.40,False,True,False
hol_main_easy,f(x := f x) = f,True,success,7.16,False,True,False
hol_main_easy,finite (r\<^sup>+) = finite r,True,success,7.18,False,True,False
hol_main_easy,finite F \<Longrightarrow> finite (h ` F),True,success,7.12,False,True,False
hol_main_easy,finite {i :: int. a < i \<and> i \<le> b},True,success,7.08,False,True,False
hol_main_easy,fst (apfst f x) = f (fst x),True,success,9.19,False,True,False
hol_main_easy,fst bc = (fst \<circ> fstOp P Q) bc,False,deadline_overrun,137.71,True,True,False
hol_main_easy,i \<le> j \<Longrightarrow> k * i \<le> k * j,True,success,25.79,False,True,False
hol_main_easy,insert a B = {x. x = a} \<union> B,True,success,7.14,False,True,False
hol_main_easy,insert x UNIV = UNIV,True,success,7.21,False,True,False
hol_main_easy,inv (\<lambda>a. a) = (\<lambda>a. a),True,success,9.35,False,True,False
hol_main_easy,irrefl R \<Longrightarrow> irrefl (lexord R),True,success,32.43,False,True,False
hol_main_easy,last (xs @ [x]) = x,True,success,9.10,False,True,False
hol_main_easy,length (rev xs) = length xs,True,success,9.31,False,True,False
hol_main_easy,length (suffixes xs) = Suc (length xs),False,sorry_leak,118.16,True,True,False
hol_main_easy,length (x # xs) = Suc (length xs),True,success,9.23,False,True,False
hol_main_easy,lfp f = (f ^^ k) bot,False,deadline_overrun,133.32,True,True,False
hol_main_easy,listsp (inf A B) = inf (listsp A) (listsp B),True,success,7.22,False,True,False
hol_main_easy,m < nat z \<longleftrightarrow> int m < z,True,success,9.37,False,True,False
hol_main_easy,m \<le> n \<Longrightarrow> m - n = 0,True,success,26.07,False,True,False
hol_main_easy,map_of xs = map_of ys,False,deadline_overrun,126.08,False,False,False
hol_main_easy,map_option f \<circ> empty = empty,False,deadline_overrun,124.68,True,True,False
hol_main_easy,min top (x::'a::order_top) = x,True,success,9.22,False,True,False
hol_main_easy,mono f \<Longrightarrow> mono_on A f,True,success,38.51,False,True,False
hol_main_easy,m|`A|`B = m|`(A\<inter>B),True,success,9.22,False,True,False
hol_main_easy,n > 0 \<Longrightarrow> Suc (n - Suc 0) = n,True,success,9.37,False,True,False
hol_main_easy,nat (Int.Pos k) = nat_of_num k,True,success,58.65,False,True,False
hol_main_easy,prefix xs ys \<Longrightarrow> sublist xs ys,False,sorry_leak,73.51,True,True,False
hol_main_easy,r\<^sup>+ = r \<union> r\<^sup>+ O r,True,success,38.44,False,True,False
hol_main_easy,"r``{a} = {b. (a, b) \<in> r}",True,success,7.16,False,True,False
hol_main_easy,s = t \<Longrightarrow> t = s,True,success,7.27,False,True,False
hol_main_easy,set(minus_list_set xs ys) = set xs - set ys,True,success,9.18,False,True,False
hol_main_easy,snd (prod.swap x) = fst x,True,success,9.34,False,True,False
hol_main_easy,sort [m..<n] = [m..<n],True,success,9.30,False,True,False
hol_main_easy,sum f (A - B) = sum f A - sum f B,False,hallucinated_id,135.13,True,True,False
hol_main_easy,surj f \<Longrightarrow> f ` (f -` A) = A,True,success,13.32,False,True,False
hol_main_easy,symp_on A R\<inverse>\<inverse> = symp_on A R,True,success,9.25,False,True,False
hol_main_easy,"x = (y, z) \<Longrightarrow> fst x = y",True,success,9.13,False,True,False
hol_main_easy,z \<le> 0 \<Longrightarrow> nat z = 0,True,success,9.35,False,True,False
