goal,success,elapsed_s,mode,model,outline_chars,fills,failed_holes,had_sorry,verified_ok
(A \<inter> B) \<times> C = A \<times> C \<inter> B \<times> C,True,5.8488,auto,ollama:qwen2.5-coder:7b,81,1,0,False,True
(LIM x F. f x :> at_top) \<longleftrightarrow> (\<forall>Z. eventually (\<lambda>x. Z < f x) F),False,128.2009,auto,ollama:qwen2.5-coder:7b,280,0,1,True,True
(\<And>P. eventually P F' \<Longrightarrow> eventually P F) \<Longrightarrow> F \<le> F',True,64.1696,auto,ollama:qwen2.5-coder:7b,123,1,0,False,True
"(\<And>a. a \<in> A \<Longrightarrow> (a, a) \<notin> r) \<Longrightarrow> irrefl_on A r",True,38.2037,auto,ollama:qwen2.5-coder:7b,123,1,0,False,True
(\<And>n. f n = g n) \<Longrightarrow> f sums c \<longleftrightarrow> g sums c,True,9.2162,auto,ollama:qwen2.5-coder:7b,96,1,0,False,True
(\<And>x y. R x y \<Longrightarrow> f x < f y) \<Longrightarrow> wfp R,False,126.4729,auto,ollama:qwen2.5-coder:7b,458,2,0,True,True
(\<And>x. P (f x) = Q x) \<Longrightarrow> f -` (Collect P) = Collect Q,True,7.0672,auto,ollama:qwen2.5-coder:7b,90,1,0,False,True
(\<Sum>k\<le>m. (2 * m + 1 choose k)) = 2 ^ (2 * m),True,55.8868,auto,ollama:qwen2.5-coder:7b,92,1,0,False,True
(\<lambda>n. if n \<in> A then f n else g n) sums S',False,114.3722,auto,ollama:qwen2.5-coder:7b,224,0,1,True,True
"(\<lambda>x y. (x, y) \<in> R) \<le> (\<lambda>x y. (x, y) \<in> S) \<longleftrightarrow> R \<subseteq> S",True,9.3753,auto,ollama:qwen2.5-coder:7b,123,1,0,False,True
(a::'a::cancel_comm_monoid_add) + b = a \<longleftrightarrow> b = 0,True,9.1448,auto,ollama:qwen2.5-coder:7b,85,1,0,False,True
(a::'a::group_add) + b = 0 \<Longrightarrow> - a = b,True,63.5675,auto,ollama:qwen2.5-coder:7b,97,1,0,False,True
(a::'a::normalization_semidom) div unit_factor a = normalize a,True,9.1829,auto,ollama:qwen2.5-coder:7b,80,1,0,False,True
(a::'a::ordered_ab_group_add) < - b \<longleftrightarrow> b < - a,True,32.6198,auto,ollama:qwen2.5-coder:7b,105,1,0,False,True
(a::'a::semiring_gcd) dvd gcd b c \<Longrightarrow> a dvd c,True,9.2949,auto,ollama:qwen2.5-coder:7b,77,1,0,False,True
(a::'a::semiring_modulo) - a mod b = b * (a div b),True,32.8524,auto,ollama:qwen2.5-coder:7b,110,1,0,False,True
(a::'a::semiring_no_zero_divisors) * b = 0 \<longleftrightarrow> a = 0 \<or> b = 0,True,9.2330,auto,ollama:qwen2.5-coder:7b,100,1,0,False,True
(f :: 'a \<Rightarrow> 'b) = g \<Longrightarrow> f x = g x,True,7.2305,auto,ollama:qwen2.5-coder:7b,77,1,0,False,True
